ScrapedName,PlayerID,Method,MatchedName
Arturs Zasurcevs,12546,Fuzzy,Artūrs Zasurcevs
Asnate Kocere,14423,Exact,Asnate Kocere
Atis Silis,904,Fuzzy,Atis Sīlis
Audrius Pleikys,1274,Exact,Audrius Pleikys
August Wegestål,2419,Exact,August Wegestål
Axel Lundstrom,6505,Fuzzy,Axel Lundström
Axel Lundström,6505,Exact,Axel Lundström
Axel Lönnqvist,6509,Exact,Axel Lönnqvist
Barna Stefan,1271,Exact,Barna Stefan
Benjamin Andersson,2621,Exact,Benjamin Andersson
Benjamin Nygård,12345,Exact,Benjamin Nygård
Benjamin Suominen,14545,Exact,Benjamin Suominen
Bernard Rjavec,1234,Exact,Bernard Rjavec
Bernard Skrlep,8348,Exact,Bernard Skrlep
Bie Karlsson,13855,Exact,Bie Karlsson
Bine Gajsek,12791,Exact,Bine Gajsek
Bjarne Axelsen,1214,Exact,Bjarne Axelsen
Björn Ingevaldsson,2898,Exact,Björn Ingevaldsson
Björn Svedman,10155,Fuzzy,Bjorn Svedman
Björn Söderström,5070,Exact,Björn Söderström
Blasko Imrich,1233,Exact,Blasko Imrich
Branislav Sabo,12724,Exact,Branislav Sabo
Carl Bindekrans,906,Exact,Carl Bindekrans
Caroline Eriksson,1315,Exact,Caroline Eriksson
Christer Persson,5864,Exact,Christer Persson
Christian Aden,1261,Exact,Christian Aden
Christian Bengtsson,5348,Exact,Christian Bengtsson
Christian Christoffersson,2216,Exact,Christian Christoffersson
Christian Wall,5218,Fuzzy,Christian Doll
Christophe Hellman,2667,Exact,Christophe Hellman
Csaba Kocsis,2135,Exact,Csaba Kocsis
Dag Roar Nilsen,13442,Exact,Dag Roar Nilsen
Dan Andersson,5567,Fuzzy,Jan Andersson
Dan Johansson,5208,Fuzzy,Johan Johansson
Daniel Biloglav,3977,Exact,Daniel Biloglav
Daniel Daun,8628,Fuzzy,Daniel Danne
Daniel Gullberg,2449,Exact,Daniel Gullberg
Daniel Matysek,1237,Exact,Daniel Matysek
Daniel Matýsek,1237,Fuzzy,Daniel Matysek
Daniel Nilsson Pålsson,2917,Exact,Daniel Nilsson Pålsson
Daniel Nygard,7510,Fuzzy,Daniel Nygård
Daniel Nygård,7510,Exact,Daniel Nygård
Daniel Nyman,2217,Exact,Daniel Nyman
Daniel Petersson,2591,Exact,Daniel Petersson
Daniel Remmem,1216,Exact,Daniel Remmem
Daniel Setterwall,2946,Exact,Daniel Setterwall
Daniel Sippo,6406,Exact,Daniel Sippo
Daniel Wallén,5390,Fuzzy,Daniel Wallin
Daniil Landa,3266,Exact,Daniil Landa
Daniil Moshnin,4197,Exact,Daniil Moshnin
Daniil Mushnikov,9108,Exact,Daniil Mushnikov
Danilo Baumanis,13410,Exact,Danilo Baumanis
Darja Hrustaljova,10915,Exact,Darja Hrustaljova
Darko Mrdalj,2277,Exact,Darko Mrdalj
Darta Vesele,13324,Fuzzy,Dārta Vesele
David Andersson,2108,Exact,David Andersson
David Axelsson,8080,Exact,David Axelsson
David Dvoracek,3991,Exact,David Dvoracek
David Freséus,1221,Fuzzy,David Freseus
David Hasler,1276,Exact,David Hasler
David Nilsson,2666,Exact,David Nilsson
David Nordström,2922,Exact,David Nordström
David Smid,2584,Exact,David Smid
David Šmíd,2584,Manual,David Šmíd
Davis Apfelbaums,14709,Fuzzy,Dāvis Apfelbaums
Denis Andrijashkin,4198,Fuzzy,Deniss Andrijashkin
Denis Matveev,1475,Exact,Denis Matveev
Deniss Andrijashkin,4198,Exact,Deniss Andrijashkin
Dmitri Krylenkov,8207,Exact,Dmitri Krylenkov
Dmitri Leleka,3265,Exact,Dmitri Leleka
Dmitri Stykailo,6405,Exact,Dmitri Stykailo
Dmitriy Belavin,168,Fuzzy,Dmitry Belavin
Dmitriy Koshman,225,Exact,Dmitriy Koshman
Dmitriy Petrov,218,Exact,Dmitriy Petrov
Dmitriy Sapozhnikov,3758,Exact,Dmitriy Sapozhnikov
Dmitry Malygin,388,Exact,Dmitry Malygin
Dmitry Soloviev,216,Exact,Dmitry Soloviev
Dmytro Donets,480,Exact,Dmytro Donets
Dmytro Kudrytsky,1933,Exact,Dmytro Kudrytsky
Domen Zupancic,13220,Fuzzy,Domen Zupančič
Domen Zupančič,13220,Exact,Domen Zupančič
Dominik Prager,12721,Exact,Dominik Prager
Eddie Nilsson,4329,Exact,Eddie Nilsson
Edgars CAICS,391,Exact,Edgars CAICS
Edgars Caics,391,Exact,Edgars Caics
Edgars Liepins,15529,Exact,Edgars Liepins
Edgars Mucenieks,897,Exact,Edgars Mucenieks
Edgars NAGLIS,9875,Exact,Edgars NAGLIS
Edgars Naglis,9875,Exact,Edgars Naglis
Edgars Putnins,9323,Fuzzy,Edgars Putniņš
Edgars Saulitis,911,Fuzzy,Edgars Saulītis
Edgars Vitols,2015,Fuzzy,Edgars Vītols
Eduards Pakis,192,Fuzzy,Eduards Paķis
Edward Refshus Hagerup,4206,Exact,Edward Refshus Hagerup
Edzus Kaneps,14712,Manual,Edzus Kaneps
Edžus KAŅEPS,14712,Exact,Edžus KAŅEPS
Edžus Kaņeps,14712,Exact,Edžus Kaņeps
Eike Rompa,1613,Exact,Eike Rompa
Einars Guze,13404,Manual,Einars Guze
Elians Edelis,4219,Manual,Elians Edelis
Elin Hellman,2668,Exact,Elin Hellman
Ellinor Gustafsson,4072,Exact,Ellinor Gustafsson
Elvijs SILIŅŠ,5706,Exact,Elvijs SILIŅŠ
Elvijs Silins,5706,Manual,Elvijs Silins
Elvijs Siliņš,5706,Exact,Elvijs Siliņš
Elvira Kohlsgården,7345,Exact,Elvira Kohlsgården
Emanuel Nilsson,2665,Exact,Emanuel Nilsson
Emil Larsson,2185,Exact,Emil Larsson
Emil Uimonen,8600,Exact,Emil Uimonen
Emils Liepins,12541,Manual,Emils Liepins
Emma Andersson,4186,Exact,Emma Andersson
Emīls LIEPIŅŠ,12541,Exact,Emīls LIEPIŅŠ
Emīls Liepiņš,12541,Exact,Emīls Liepiņš
Eric Norén,2189,Exact,Eric Norén
Erik Andersson,8791,Fuzzy,Emil Andersson
Erik Bernhauser,10568,Exact,Erik Bernhauser
Erik Janson,3541,Fuzzy,Erik Johansson
Erik Johansson,3541,Exact,Erik Johansson
Erik Jonsson,3533,Exact,Erik Jonsson
Erik Lundström,2871,Fuzzy,Elin Lundström
Erik Werner,4066,Exact,Erik Werner
Eriks Kuharjonoks,3640,Fuzzy,Ēriks Kuharjonoks
Ernests Kalnins,11126,Fuzzy,Ernests Kalniņš
Eskil Persson,3539,Exact,Eskil Persson
Eskil Sandland,4308,Exact,Eskil Sandland
Espen Eidsnes,4129,Exact,Espen Eidsnes
Espen Moe,2425,Exact,Espen Moe
Eva Ozerova,2861,Exact,Eva Ozerova
Evgenii Solovev,3362,Fuzzy,Evgenii Soloviev
Evgeniy Goloviznin,628,Exact,Evgeniy Goloviznin
Evgeniy Matantsev,1559,Exact,Evgeniy Matantsev
Ewoud van Veen,1263,Exact,Ewoud van Veen
Fadi Issa,5167,Exact,Fadi Issa
Felix Waldmann,12770,Exact,Felix Waldmann
Felix Wirström,6544,Exact,Felix Wirström
Filip Hamacek,1220,Exact,Filip Hamacek
Filip Wirström,3810,Exact,Filip Wirström
Filips Buhtujevs,2013,Exact,Filips Buhtujevs
Finn Fries,2414,Exact,Finn Fries
Francis Refshus Hagerup,4205,Exact,Francis Refshus Hagerup
Frank Bruneske,1253,Exact,Frank Bruneske
Frank Rasche,14531,Exact,Frank Rasche
Fredric Axelsson,4637,Exact,Fredric Axelsson
Fredrik Dahl,2207,Exact,Fredrik Dahl
Fredrik Hansson,2405,Exact,Fredrik Hansson
Fredrik Hermansson,2405,Fuzzy,Fredrik Hansson
Fredrik Hjalmarsson,5077,Fuzzy,Fredric Hjalmarsson
Fredrik Johansson,2405,Fuzzy,Fredrik Hansson
Fredrik Jonsson,2405,Fuzzy,Fredrik Hansson
Fredrik Larsson,2405,Fuzzy,Fredrik Hansson
Fredrik Timeus,4287,Exact,Fredrik Timeus
Frode Hagerup,1300,Exact,Frode Hagerup
Gabor Alexovic,12722,Exact,Gabor Alexovic
Gal Bohinc,10493,Exact,Gal Bohinc
Geir Hjemas,1527,Fuzzy,Geir Hjemås
Geir Hjemås,1527,Exact,Geir Hjemås
Geir Tonny Brovold,2624,Exact,Geir Tonny Brovold
Georgs Jansons,15542,Exact,Georgs Jansons
Gergely Regula,5438,Exact,Gergely Regula
German Fokin,1023,Exact,German Fokin
Gerrit Janssen,1256,Exact,Gerrit Janssen
Gintautas Remeika,9271,Exact,Gintautas Remeika
Gints LASMANIS,1210,Exact,Gints LASMANIS
Gints Lasmanis,1210,Exact,Gints Lasmanis
Glenn Dahlberg,6000,Exact,Glenn Dahlberg
Glib Storozhenko,12086,Exact,Glib Storozhenko
Goran Johansson,5208,Fuzzy,Johan Johansson
Grigori Timoschuk,9879,Exact,Grigori Timoschuk
Grigoriy Dubinin,664,Exact,Grigoriy Dubinin
Gundega Pake,193,Fuzzy,Gundega Paķe
Gunnar Gripp,5084,Exact,Gunnar Gripp
Guntis Ernsteins,2989,Fuzzy,Guntis Ernšteins
Gustaf Fagerberg,2620,Exact,Gustaf Fagerberg
Gustaf Hermansson,12368,Exact,Gustaf Hermansson
Gustaf Öqvist,2452,Exact,Gustaf Öqvist
Gustav Bradland,2844,Fuzzy,Gustav Brådland
Gustav Brådland,2844,Exact,Gustav Brådland
Gustav Nilsson,13852,Exact,Gustav Nilsson
Gustavs Keisters,9896,Exact,Gustavs Keisters
Göran Agdur,1523,Fuzzy,Goran Agdur
Göran Lönnqvist,13856,Exact,Göran Lönnqvist
Göran Skog,8021,Exact,Göran Skog
Hanna Ivantsova,4049,Exact,Hanna Ivantsova
Hannes Lechner,9844,Exact,Hannes Lechner
Hans Christian Lønne,1434,Exact,Hans Christian Lønne
Hans E Lindqwist,2931,Fuzzy,Hans E. Lindqwist
Hans E. Lindqwist,2931,Exact,Hans E. Lindqwist
Hans Lindqwist,2931,Fuzzy,Hans E. Lindqwist
Hans Nordin,2899,Exact,Hans Nordin
Hans Norén,2899,Fuzzy,Hans Nordin
Hans Österman,2042,Fuzzy,Hans Osterman
Hans-Oyvind Sagen,2283,Fuzzy,Hans-Øyvind Sagen
Hans-Øyvind Sagen,2283,Exact,Hans-Øyvind Sagen
Haralds Janvars,8579,Exact,Haralds Janvars
Henric Andersson,2923,Exact,Henric Andersson
Henrijs Prokuratovs,8153,Exact,Henrijs Prokuratovs
Henrik Claesson,4679,Fuzzy,Henrik Tagesson
Henrik Kransholm,3944,Exact,Henrik Kransholm
Henrik Lundberg,13095,Fuzzy,Henrik Sundberg
Henrik Nilsson,4077,Exact,Henrik Nilsson
Henrik Tagesson,4679,Exact,Henrik Tagesson
Henrik Widing,6506,Exact,Henrik Widing
Herman Lindgren,13857,Exact,Herman Lindgren
Herman Steen,4446,Exact,Herman Steen
Hermann Petuch,3066,Exact,Hermann Petuch
Hjalmar Nilsson,2592,Exact,Hjalmar Nilsson
Honza Sladek,2009,Manual,Honza Sladek
Hudec Karol,4137,Exact,Hudec Karol
Hugo Lönnqvist,9211,Fuzzy,Hugo Lonnqvist
Hugo Pettersson,6578,Exact,Hugo Pettersson
Hynek Nechutny,3913,Exact,Hynek Nechutny
Ida Pedersen,5059,Exact,Ida Pedersen
Igor Malahov,665,Fuzzy,Igor Malachov
Igor Masloboev,155,Exact,Igor Masloboev
Igor Miloradov,1370,Exact,Igor Miloradov
Igor Saveljev,184,Exact,Igor Saveljev
Igor Zamiatin,4747,Exact,Igor Zamiatin
Igor Zaporojets,470,Exact,Igor Zaporojets
Ilgvars Pavlovskis,13604,Exact,Ilgvars Pavlovskis
Ilya Golubev,4157,Exact,Ilya Golubev
Ilze Kirse,12037,Fuzzy,Ilze Ķirse
Imrich Blasko,15494,Fuzzy,Imrich Blaško
Ingebret Risa,1248,Exact,Ingebret Risa
Intars Garancs,3669,Fuzzy,Intars Garančs
Ints Jurka,11282,Exact,Ints Jurka
Ismo Aulaskari,13664,Exact,Ismo Aulaskari
Ivan Schekotov,2460,Fuzzy,Ivan Shchekotov
Ivan Zaharov,235,Exact,Ivan Zaharov
Ivan Zakharov,235,Fuzzy,Ivan Zaharov
Ivars Kirsis,12039,Fuzzy,Ivars Ķirsis
Jaakko Koski,9825,Exact,Jaakko Koski
Jaka Skrlep,10532,Exact,Jaka Skrlep
Jakob Andersson,5567,Fuzzy,Jan Andersson
