ScrapedName,PlayerID,Method,MatchedName
Mark-Julius Pikat,3354,Exact,Mark-Julius Pikat
Marko Säkkinen,2455,Exact,Marko Säkkinen
Marks Kristians Krauze,11127,Exact,Marks Kristians Krauze
Markus Bengtsson,4071,Exact,Markus Bengtsson
Markus Nilsson,2033,Exact,Markus Nilsson
Martin Arenlind,1231,Exact,Martin Arenlind
Martin Lundén,2075,Fuzzy,Martin Lunden
Martin Madera,1238,Exact,Martin Madera
Martin Maděra,1238,Fuzzy,Martin Madera
Martin Martinec,9668,Exact,Martin Martinec
Martin Moravec,14662,Fuzzy,Martin Moravec St.
Martin Vojacek,14562,Fuzzy,Martin Vojáček
Martin Zenisek,1241,Exact,Martin Zenisek
Mathias Blomquist,4133,Exact,Mathias Blomquist
Matiss Jakseboga,9160,Fuzzy,Matīss Jakseboga
Matiss Saulitis,617,Fuzzy,Matīss Saulītis
Mats Blomqvist,4133,Manual,Mats Blomqvist
Mats Johansson,2410,Exact,Mats Johansson
Mats Persson,7761,Fuzzy,Mats Pettersson
Mats Qvist,9243,Manual,Mats Qvist
Matsvei Shyrkavets,3597,Fuzzy,Matvei Shyrkavets
Matti Månsson,2929,Exact,Matti Månsson
Mattias Engberg,2224,Exact,Mattias Engberg
Mattias Holmner,4068,Exact,Mattias Holmner
Mattias Johansson,15446,Fuzzy,Mathias Johansson
Mattias Kralmark,2457,Exact,Mattias Kralmark
Mattias Pettersson,7761,Fuzzy,Mats Pettersson
Matus Bolemant,12717,Exact,Matus Bolemant
Matīss JAKSEBOGA,9160,Exact,Matīss JAKSEBOGA
Matīss Jakseboga,9160,Exact,Matīss Jakseboga
Maxim Borisov,142,Exact,Maxim Borisov
Maxim Starkov,1478,Exact,Maxim Starkov
Mazvydas Satkus,2031,Exact,Mazvydas Satkus
Micael Borgh,3211,Exact,Micael Borgh
Micael Myrén,5017,Fuzzy,Micael Myren
Micael Sundqvist,7164,Exact,Micael Sundqvist
Michael Moravec,14661,Fuzzy,Michael Moravec ml.
Michael Toft Nielsen,5487,Exact,Michael Toft Nielsen
Michal Hvizd,888,Exact,Michal Hvizd
Michal Hvižd,888,Fuzzy,Michal Hvizd
Michal Kobrle,2631,Exact,Michal Kobrle
Michal Masek,5323,Exact,Michal Masek
Michal Tous,15416,Exact,Michal Tous
Miha Skrlep,9248,Exact,Miha Skrlep
Mihail Margolis,231,Exact,Mihail Margolis
Mihail Mihin,3020,Fuzzy,Mikhail Mikhin
Mikael Briland,2215,Exact,Mikael Briland
Mikael Ceder Eriksson,2213,Exact,Mikael Ceder Eriksson
Mikael Hansson,3530,Exact,Mikael Hansson
Mikael Johansson,3530,Fuzzy,Mikael Hansson
Mikael Lindberg,3808,Fuzzy,Mikael Wiberg
Mikael Wiberg,3808,Exact,Mikael Wiberg
Mikhail Chernobay,5928,Fuzzy,Michael Chernobay
Mikhail Krinov,2139,Exact,Mikhail Krinov
Mikhail Margolis,231,Fuzzy,Mihail Margolis
Mikhail Mikhin,3020,Exact,Mikhail Mikhin
Mikhail Shashkov,459,Exact,Mikhail Shashkov
Mikhail Spivakovsky,169,Fuzzy,Mikhail Sivakov
Mikko Haveri,2035,Exact,Mikko Haveri
Mikko Haverinen,2035,Fuzzy,Mikko Haveri
Mikko Kaariainen,425,Exact,Mikko Kaariainen
Mikus Saulitis,616,Exact,Mikus Saulitis
Mikus Saulītis,616,Fuzzy,Mikus Saulitis
Milos Sevr,885,Exact,Milos Sevr
Miloš Ševr,885,Manual,Miloš Ševr
Miroslav Cernoch,1235,Exact,Miroslav Cernoch
Miroslav Ramsak,15262,Fuzzy,Miroslav Ramšak
Mitro Daniel,1239,Exact,Mitro Daniel
Mitro Milan,1273,Exact,Mitro Milan
Mojca Skrlep,11976,Exact,Mojca Skrlep
Morgan Lagerkvist,4121,Exact,Morgan Lagerkvist
Morten Aarflot,7573,Exact,Morten Aarflot
Morten Johannessen,1436,Exact,Morten Johannessen
Mykhailo Razkevych,14560,Exact,Mykhailo Razkevych
Mykhaylo Shalomayev,467,Exact,Mykhaylo Shalomayev
Mykhaylo Spivakovskyy,434,Exact,Mykhaylo Spivakovskyy
Mykola Verbytskyy,11390,Exact,Mykola Verbytskyy
Mārcis Radelis,13665,Exact,Mārcis Radelis
Nejc Skrlep,1251,Fuzzy,Nejc Škrlep
Nejc Škrlep,1251,Exact,Nejc Škrlep
Netta Jousi,908,Exact,Netta Jousi
Nicklas Nilsson,4636,Exact,Nicklas Nilsson
Nico Jenni,9016,Exact,Nico Jenni
Nikita Zholobov,1673,Exact,Nikita Zholobov
Niklas Blomberg,3972,Exact,Niklas Blomberg
Niklas Bärve,2940,Exact,Niklas Bärve
Niklavs Peteris Sviklis,10969,Fuzzy,Niklāvs Pēteris Sviklis
Niko Tuominen,4992,Exact,Niko Tuominen
Nikolay Krokhmal,1440,Manual,Nikolay Krokhmal
Niks Lacis,5129,Fuzzy,Niks Lācis
Nils Jönsson,2927,Exact,Nils Jönsson
Oleg Bondarenko,1411,Exact,Oleg Bondarenko
Oleg Dmitrichenko,145,Exact,Oleg Dmitrichenko
Oleg Ortinov,144,Exact,Oleg Ortinov
Oleg Sokolov,8738,Exact,Oleg Sokolov
Oleksandr Danylenko,1688,Exact,Oleksandr Danylenko
Oleksandr Pylypenko,11436,Exact,Oleksandr Pylypenko
Oleksii Gusak,1021,Fuzzy,Oleksii Husak
Oleksii Korabel,479,Exact,Oleksii Korabel
Oliver Westlund Myrén,3914,Exact,Oliver Westlund Myrén
Olle Eriksson,3213,Exact,Olle Eriksson
Olle Jacobsson,6543,Exact,Olle Jacobsson
Olli Majaniemi,5942,Exact,Olli Majaniemi
Olof Blume,5836,Exact,Olof Blume
Ondrej Gruncl,15736,Exact,Ondrej Gruncl
Oscar Henriksson,1303,Exact,Oscar Henriksson
Oskar Ekeberg,4333,Exact,Oskar Ekeberg
Oskar Lampinen,2680,Exact,Oskar Lampinen
Ossian Eklund,3531,Exact,Ossian Eklund
Otto Pesala,15459,Exact,Otto Pesala
Otto Pesälä,15459,Manual,Otto Pesälä
Oystein Klippen,2843,Fuzzy,Øystein Klippen
Oystein Nesse,4113,Fuzzy,Øystein Nesse
Oyvind Aasheim,2041,Exact,Oyvind Aasheim
Oyvind Hansen,1413,Fuzzy,Øyvind Hansen
Oyvind Ronne,3347,Manual,Oyvind Ronne
Pal Bakken,1557,Exact,Pal Bakken
Pasi Haikonen,13674,Exact,Pasi Haikonen
Patrik Hellström,2809,Exact,Patrik Hellström
Patrik Karlsson,6503,Fuzzy,Patrik Larsson
Patrik Kocsis,12718,Exact,Patrik Kocsis
Patrik Larsson,6503,Exact,Patrik Larsson
Patrik Petr,1209,Exact,Patrik Petr
Patrik Räfling,2577,Exact,Patrik Räfling
Pavel Gorodnitskiy,210,Exact,Pavel Gorodnitskiy
Pavel Plesak,1994,Exact,Pavel Plesak
Pavel Pylypenko,189,Fuzzy,Pavlo Pylypenko
Peder Andersson,5196,Fuzzy,Peter Andersson
Per Back,2412,Exact,Per Back
Per E. Weckhorst,1423,Exact,Per E. Weckhorst
Per-Erik Wilsbeck,13443,Fuzzy,Per Erik Wilsbeck
Peter Andersson,5196,Exact,Peter Andersson
Peter Björkman,8264,Exact,Peter Björkman
Peter Enderborg,4286,Exact,Peter Enderborg
Peter Madsen,2595,Exact,Peter Madsen
Peter Mozhaev,205,Fuzzy,Petr Mozhaev
Peter Östlund,2920,Exact,Peter Östlund
Petr Mozhaev,205,Exact,Petr Mozhaev
Petr Tmej,886,Exact,Petr Tmej
Petr Tměj,886,Fuzzy,Petr Tmej
Petrek Jaroslav,1259,Exact,Petrek Jaroslav
Petrus Miettinen,8546,Exact,Petrus Miettinen
Petter Bengtsson,2203,Exact,Petter Bengtsson
Petter Bäckebjörk,2926,Exact,Petter Bäckebjörk
Petteri Sevon,1294,Exact,Petteri Sevon
Polina Kvasnikova,11998,Exact,Polina Kvasnikova
Pontus Back,2420,Exact,Pontus Back
Pontus Chorell,4134,Exact,Pontus Chorell
Pontus Eriksson,2201,Exact,Pontus Eriksson
Pär Pettersson,8175,Fuzzy,Per Pettersson
Pål Bakken,1557,Fuzzy,Pal Bakken
Péter Borsányi,3065,Exact,Péter Borsányi
Railends Kuhalskis,8773,Fuzzy,Railends Kuhaļskis
Raimonds Stalmanis,14429,Fuzzy,Raimonds Stālmanis
Rainers KALNIŅŠ,9763,Exact,Rainers KALNIŅŠ
Rainers Kalnins,9763,Fuzzy,Rainers Kalniņš
Rainers Kalniņš,9763,Exact,Rainers Kalniņš
Rainers Martuzans,13325,Fuzzy,Rainers Martužāns
Raivis Pukinskis,893,Exact,Raivis Pukinskis
Raivis Sternats,202,Fuzzy,Raivis Sternāts
Ralph Pommerenke,1622,Exact,Ralph Pommerenke
Regnars Vazolins,9364,Manual,Regnars Vazolins
Regnārs VAZOLIŅŠ,9364,Exact,Regnārs VAZOLIŅŠ
Reinis Stacevics,10715,Fuzzy,Reinis Salcevičs
Renars Masulis,15556,Fuzzy,Renārs Masulis
Renars Saulitis,10750,Fuzzy,Renārs Saulītis
Rene Huhtala,1552,Exact,Rene Huhtala
Ricards Kalnins,12467,Fuzzy,Ričards Kalninš
Richard Pedersen,2695,Exact,Richard Pedersen
Richard Petersson,3538,Exact,Richard Petersson
Rickard Callertun,2579,Exact,Rickard Callertun
Rickard Forsberg,8181,Fuzzy,Richard Forsberg
Rickard Sjöstedt,2365,Exact,Rickard Sjöstedt
Rikard Nässelkvist,4532,Exact,Rikard Nässelkvist
Ritvars Felkers,9527,Exact,Ritvars Felkers
Robban Gawell,3529,Exact,Robban Gawell
Robert Forsberg,13991,Exact,Robert Forsberg
Roberts Aserins,13405,Fuzzy,Roberts Aseriņš
Roberts Kerns,9712,Exact,Roberts Kerns
Robin Larsson,3915,Exact,Robin Larsson
Robin Westergren,3535,Exact,Robin Westergren
Roger Olovsson,2220,Exact,Roger Olovsson
Rok Skrlep,1311,Exact,Rok Skrlep
Rolands RIEKSTIŅŠ,4653,Exact,Rolands RIEKSTIŅŠ
Rolands Riekstins,4653,Fuzzy,Rolands Riekstiņš
Rolands Riekstiņš,4653,Exact,Rolands Riekstiņš
Rolf Locher,1264,Exact,Rolf Locher
Roman Falkensteins,8576,Fuzzy,Romans Faļkenšteins
Roman Ignatenko,1452,Exact,Roman Ignatenko
Romans Faļkenšteins,8576,Exact,Romans Faļkenšteins
Ronald Kocsis,12720,Exact,Ronald Kocsis
Roni Nuttunen,623,Exact,Roni Nuttunen
Rosanna Johansson,4496,Exact,Rosanna Johansson
Roy Persen,3831,Exact,Roy Persen
Rudolfs Kamzols,14704,Fuzzy,Rūdolfs Kamzols
Rudolfs Valainis,3353,Fuzzy,Rūdolfs Valainis
Rune Pettersson,4941,Exact,Rune Pettersson
Ruslan Kobchuk,8732,Exact,Ruslan Kobchuk
Salvis Skarainis,194,Exact,Salvis Skarainis
Sami Hellstrom,2025,Exact,Sami Hellstrom
Sami Hellström,2025,Fuzzy,Sami Hellstrom
Sandis KALNIŅŠ,3637,Exact,Sandis KALNIŅŠ
Sandis Kalnins,3637,Fuzzy,Sandis Kalniņš
Sandis Kalniņš,3637,Exact,Sandis Kalniņš
Sandis Krasts,9858,Exact,Sandis Krasts
Sandis Kristaps LAGZDIŅŠ,5276,Exact,Sandis Kristaps LAGZDIŅŠ
Sandis Kristaps Lagzdins,5276,Fuzzy,Sandis Kristaps Lagzdiņš
Sandis Kristaps Lagzdiņš,5276,Exact,Sandis Kristaps Lagzdiņš
Sandra Komaraite,1287,Exact,Sandra Komaraite
Santtu Sainio,419,Exact,Santtu Sainio
Sergej Vasiljev,13451,Fuzzy,Sergei Vasilev
Sergejs Mihejevs,1677,Exact,Sergejs Mihejevs
Sergey Ivanov,12388,Exact,Sergey Ivanov
Sergey Shikerin,658,Exact,Sergey Shikerin
Simon Johannesson,5563,Exact,Simon Johannesson
Simon Jonasson,5563,Manual,Simon Jonasson
Simon Larsson,5325,Exact,Simon Larsson
Simon Thomas,5156,Exact,Simon Thomas
Simonas Pleikys,2017,Exact,Simonas Pleikys
Sinus Moberg,12867,Exact,Sinus Moberg
Sissela Blume,5720,Exact,Sissela Blume
Sissie Wikström,1316,Fuzzy,Sissie Wikstrom
"Sissie Wikström,",1316,Fuzzy,Sissie Wikstrom
Sondre Efteland Johansen,1531,Exact,Sondre Efteland Johansen
Staffan Olsson,2212,Exact,Staffan Olsson
Stanislav Lutay,1392,Exact,Stanislav Lutay
Stefan Edwall,3537,Exact,Stefan Edwall
Stefan Ivan,12719,Exact,Stefan Ivan
Stefan Lemming,6061,Exact,Stefan Lemming
Stefan Lukas,3215,Exact,Stefan Lukas
Sten Svensson,2413,Exact,Sten Svensson
Stepan Korotkiy,236,Exact,Stepan Korotkiy
Stian Lode,1245,Exact,Stian Lode
Stian Ostrem,1213,Exact,Stian Ostrem
Suojanen Antti,1301,Exact,Suojanen Antti
Susanna Pössl,4093,Fuzzy,Susanna Possl
Svein Arne Fure,1432,Exact,Svein Arne Fure
Svein Inge Omholt,5197,Exact,Svein Inge Omholt
Sveke Jonsson,2221,Exact,Sveke Jonsson
Sven Pettersson,4927,Exact,Sven Pettersson
Teemu Koskela,8363,Exact,Teemu Koskela
Teodor Wegestål,2411,Fuzzy,Teodor Wegestal
Teuvo Moisa,649,Exact,Teuvo Moisa
Thomas Björnson,3412,Fuzzy,Thomas Bjornson
Thomas Haussknecht,1254,Exact,Thomas Haussknecht
Thomas Malmberg,2371,Exact,Thomas Malmberg
Thomas Oscarsson,4056,Exact,Thomas Oscarsson
Thomas Petersson,1215,Exact,Thomas Petersson
Thomas Sjöberg,6545,Exact,Thomas Sjöberg
Thomas Wikström,4288,Exact,Thomas Wikström
Thony Restel,1281,Exact,Thony Restel
Thorbjorn F. Hestvaag,1309,Fuzzy,Thorbjørn F. Hestvaag
Till Dion,9053,Exact,Till Dion
Tim Tigges,1865,Exact,Tim Tigges
Tim Weisseisen,1258,Exact,Tim Weisseisen
Timur Rimski,9009,Exact,Timur Rimski
Tomas Aberg,2897,Exact,Tomas Aberg
Tomas Bucek,12834,Exact,Tomas Bucek
Tomas Fägerlind,2938,Exact,Tomas Fägerlind
Tomas Kahoun ml,2012,Fuzzy,Tomas Kahoun ml.
Tomas Kahoun ml.,2012,Exact,Tomas Kahoun ml.
Tomas Rybing,4638,Exact,Tomas Rybing
Tomas Ulis,4181,Exact,Tomas Ulis
Tomas Åberg,2897,Fuzzy,Tomas Aberg
Tomi Uimonen,10112,Exact,Tomi Uimonen
Tommy Nielsen,6580,Exact,Tommy Nielsen
Toms Jakseboga,14726,Exact,Toms Jakseboga
Toni Koivula,8526,Exact,Toni Koivula
Tony Aronsson,4064,Exact,Tony Aronsson
Tony Lindholm,2214,Exact,Tony Lindholm
Torbjorn Kverneland,2165,Fuzzy,Torbjørn Kverneland
Tore Lie,3828,Exact,Tore Lie
Tore Sorheim,3874,Fuzzy,Tore Sørheim
Tron Omland,3873,Exact,Tron Omland
Trond Ove Gangsoy,1247,Fuzzy,Trond Ove Gangsøy
Trond Ove Gangsøy,1247,Exact,Trond Ove Gangsøy
Truls Månsson,3949,Fuzzy,Truls Mansson
Trygve Lie,3827,Exact,Trygve Lie
Uffe Timber,3190,Fuzzy,Ulf Timber
Ulf Grefsgaard,13444,Fuzzy,Ulf Grefsgård
Ulrich Hennemann,1623,Exact,Ulrich Hennemann
Ulrik Nilsson,2366,Exact,Ulrik Nilsson
Uno Österman,2070,Fuzzy,Uno Osterman
Urban Edmundsson,7595,Exact,Urban Edmundsson
Urban Kohlsgården,5138,Exact,Urban Kohlsgården
Urban Mezek,10496,Exact,Urban Mezek
Uroš Matanovic,1236,Fuzzy,Uros Matanovic
Uve Vikmanis,13408,Fuzzy,Ūve Vikmanis
Vaclav Pikl,1218,Exact,Vaclav Pikl
Vafa Hamdamov,690,Exact,Vafa Hamdamov
Valentin Dietze,1621,Exact,Valentin Dietze
Valeri Trofimov,200,Exact,Valeri Trofimov
Valeriy Samsonov,654,Exact,Valeriy Samsonov
Valery Kornitsky,11385,Exact,Valery Kornitsky
Valts SMAGARS,895,Exact,Valts SMAGARS
Valts Smagars,895,Exact,Valts Smagars
Vegard Flatøy,1433,Exact,Vegard Flatøy
Vegard Klippen,2164,Exact,Vegard Klippen
Veniamin Gerasimov,3080,Exact,Veniamin Gerasimov
Vera Stanzelova,15433,Exact,Vera Stanzelova
Veronika Sachok,4231,Exact,Veronika Sachok
Vesa Huotelin,625,Exact,Vesa Huotelin
Victor Johansson,8182,Exact,Victor Johansson
Viktor Levdansky,509,Exact,Viktor Levdansky
Viktoriya Noselivska,882,Exact,Viktoriya Noselivska
Ville Henttonen,5560,Exact,Ville Henttonen
Vitaliy Ignatenko,1158,Exact,Vitaliy Ignatenko
Vitaliy Sapozhnikov,482,Exact,Vitaliy Sapozhnikov
Vitaly Skorobogatov,149,Exact,Vitaly Skorobogatov
Vladimir Areshkin,2359,Exact,Vladimir Areshkin
Vladimir Egorov,353,Exact,Vladimir Egorov
Vladimir Gatara,6517,Exact,Vladimir Gatara
Vladislav Semenchuk,6385,Exact,Vladislav Semenchuk
Vladislav Zubel,693,Exact,Vladislav Zubel
Volodymyr Kvasnikov,10701,Exact,Volodymyr Kvasnikov
Vyacheslav Potehin,627,Fuzzy,Viacheslav Patekhin
Václav Pikl,14668,Exact,Václav Pikl
Waqas Nawaz Khan,2463,Fuzzy,Waqas Nawas Khan
Wilhelm Pössl,4489,Fuzzy,Wilhelm Possl
Wilton Wallin,13858,Exact,Wilton Wallin
Yanis Galuzo,176,Exact,Yanis Galuzo
Yevgen Levdansky,511,Fuzzy,Yevhen Levdansky
Yevhen Levdansky,511,Exact,Yevhen Levdansky
Yevhen Rykun,1982,Exact,Yevhen Rykun
Yngve Aasheim,1217,Exact,Yngve Aasheim
Yurii Shapovalenko,3350,Exact,Yurii Shapovalenko
Yuriy Bondarenko,1777,Exact,Yuriy Bondarenko
Yuriy Prostakov,1376,Exact,Yuriy Prostakov
Zala Skrlep,10491,Exact,Zala Skrlep
Zala Škrlep,10491,Fuzzy,Zala Skrlep
Zdenek Lopaur,2044,Exact,Zdenek Lopaur
Zdenek Matousek ml.,2585,Fuzzy,Zdenek Matoušek ml.
Zdeněk Lopaur,2044,Fuzzy,Zdenek Lopaur
Zygimantas Remeika,11974,Fuzzy,Žygimantas Remeika
Øystein Klippen,2843,Exact,Øystein Klippen
Øyvind Hansen,1413,Exact,Øyvind Hansen
Øyvind Rønne,3347,Exact,Øyvind Rønne
